tier,seed,final_entropy,ritual_strength,ritual_streak,algorithm,condition,schedule,curiosity,interval
C,4,1.8735804665385243,0.5333333333333333,9,PPO,,,True,
C,5,1.29775569138518,0.5666666666666667,14,PPO,,,True,
C,6,1.9829181247296077,0.3333333333333333,7,PPO,,,True,
C,7,1.7489503032567062,0.4666666666666667,10,PPO,,,True,
D,0,0.4414636490626619,0.9,71,,,,,10.0
D,1,0.5438390306271098,0.8666666666666667,111,,,,,10.0
D,2,0.34588299927604566,0.7,75,,,,,10.0
D,3,0.3930919996233464,0.9666666666666667,80,,,,,10.0
D,4,0.40246071552831736,1.0,80,,,,,10.0
D,5,0.7184188264306478,0.5333333333333333,100,,,,,10.0
D,6,0.5587934750841722,0.6666666666666666,68,,,,,10.0
D,7,0.6487706980648904,1.0,137,,,,,10.0
D,0,0.4610092736323151,0.7,125,,,,,5.0
D,1,0.598149794092521,1.0,87,,,,,5.0
D,2,0.555120398885325,0.9666666666666667,88,,,,,5.0
D,3,0.9430649717129693,1.0,121,,,,,5.0
D,4,0.5375594066351217,1.0,109,,,,,5.0
D,5,0.8052903404483069,1.0,128,,,,,5.0
D,6,0.6889876077775536,0.9666666666666667,113,,,,,5.0
D,7,0.5755203023426387,1.0,189,,,,,5.0
D,0,1.2833746288972647,0.43333333333333335,19,,,,,20.0
D,1,1.3273425979660352,0.6666666666666666,22,,,,,20.0
D,2,0.7058653571193391,0.9666666666666667,27,,,,,20.0
D,3,1.1274551175964889,0.5333333333333333,23,,,,,20.0
D,4,1.1856553484867318,0.4666666666666667,19,,,,,20.0
D,5,0.9841926198280293,0.4666666666666667,28,,,,,20.0
D,6,0.8879940663747139,0.6,22,,,,,20.0
D,7,1.12835850680741,0.6666666666666666,28,,,,,20.0
